id,conversation_id,analysis_date,sentiment_score,sentiment_shift,resolution_achieved,fcr_score,ces,first_response_time,avg_response_time,total_handling_time,effectiveness_score,effort_score,efficiency_score,empathy_score,csi_score
16,10,2025-08-13,5.0,7.0,10.0,10.0,7.0,129.0,,10.0,10.0,0.0,9.404166666666665,8.5,7.13
17,11,2025-08-13,1.0,5.0,7.0,8.0,5.0,72.0,264.0,100.0,7.5,3.333333333333333,6.666666666666668,5.5,5.95
18,12,2025-08-13,2.0,4.0,9.0,10.0,6.0,119.0,,14.0,9.5,1.6666666666666665,9.251388888888888,5.5,6.88
19,13,2025-08-13,4.0,6.0,10.0,10.0,7.0,72.0,,6.0,10.0,0.0,9.65,7.5,7.04
20,14,2025-08-13,3.0,4.0,9.0,10.0,7.0,67.0,,5.0,9.5,0.0,9.698611111111111,6.0,6.65
21,15,2025-08-09,1.0,1.0,1.0,1.0,5.0,58.0,29.0,10.0,1.0,3.333333333333333,9.614814814814814,3.5,4.11
22,15,2025-08-11,1.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,1.6666666666666665,9.997222222222222,3.0,3.37
23,15,2025-08-12,1.0,2.0,0.0,0.0,3.0,0.0,740.5,79.0,0.0,6.666666666666666,6.434259259259259,4.0,3.88
24,15,2025-08-13,2.0,0.0,0.0,0.0,4.0,14.0,14.0,21.0,0.0,5.0,9.377777777777778,3.5,4.12
25,16,2025-08-12,1.0,1.0,0.0,0.0,3.0,33.0,90.0,128.0,0.0,6.666666666666666,6.469444444444444,3.5,3.81
26,16,2025-08-13,1.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,5.0,9.877777777777778,3.0,4.17
27,17,2025-08-13,1.0,2.0,1.0,1.0,5.0,7.0,45.0,15.0,1.0,3.333333333333333,9.493518518518519,4.0,4.16
28,18,2025-08-13,1.0,0.0,0.0,0.0,3.0,2.0,205.0,283.0,0.0,6.666666666666666,6.285185185185185,3.0,3.69
29,19,2025-08-12,1.0,0.0,0.0,1.0,5.0,39.0,39.0,39.0,0.5,3.333333333333333,8.808333333333332,3.0,3.66
30,19,2025-08-13,1.0,2.0,0.0,0.0,3.0,1.0,435.5,727.0,0.0,6.666666666666666,5.859259259259258,4.0,3.73
31,20,2025-08-13,1.0,0.0,0.0,0.0,6.0,,,,0.0,1.6666666666666665,,3.0,
32,21,2025-08-13,2.0,-1.0,0.0,1.0,4.0,11.0,11.0,11.0,0.5,5.0,9.66388888888889,3.0,4.29
33,22,2025-08-13,1.0,0.0,0.0,1.0,5.0,1.0,1.0,18.0,0.5,3.333333333333333,9.497222222222222,3.0,3.83
34,23,2025-08-13,2.0,0.0,0.0,1.0,4.0,13.0,13.0,25.0,0.5,5.0,9.269444444444444,3.5,4.27
35,24,2025-08-13,1.0,1.0,0.0,0.0,5.0,16.0,16.0,16.0,0.0,3.333333333333333,9.511111111111111,3.5,3.74
36,25,2025-08-12,1.0,2.0,1.0,1.0,5.0,1.0,79.0,134.0,1.0,3.333333333333333,6.519444444444445,4.0,3.41
37,25,2025-08-13,2.0,1.0,0.0,0.0,4.0,1.0,2.0,21.0,0.0,5.0,9.412037037037036,4.0,4.2
38,26,2025-08-13,1.0,0.0,0.0,1.0,5.0,1.0,1.0,10.0,0.5,3.333333333333333,9.719444444444443,3.0,3.89
39,27,2025-08-13,1.0,0.0,0.0,0.0,3.0,17.0,36.8,62.0,0.0,6.666666666666666,8.193888888888889,3.0,4.17
40,28,2025-08-13,1.0,0.0,0.0,0.0,2.0,8.0,101.3,20.0,0.0,8.333333333333334,9.249444444444444,3.0,4.85
41,29,2025-08-13,2.0,0.0,10.0,10.0,5.0,254.0,254.0,5.0,10.0,3.333333333333333,9.155555555555557,3.5,7.15
42,30,2025-08-13,1.0,9.0,10.0,10.0,5.0,56.0,130.0,1.8,10.0,3.333333333333333,9.657407407407407,7.5,7.87
43,31,2025-08-13,1.0,2.0,5.0,5.0,5.0,23.0,23.0,0.3,5.0,3.333333333333333,9.927777777777779,4.0,5.67
44,32,2025-08-13,1.0,0.0,0.0,0.0,1.0,,,,0.0,10.0,,3.0,
45,33,2025-08-11,1.0,0.0,10.0,10.0,6.0,17.0,17.0,0.3,10.0,1.6666666666666665,9.944444444444445,3.0,6.85
46,33,2025-08-13,2.0,8.0,10.0,10.0,6.0,10.0,10.0,0.3,10.0,1.6666666666666665,9.963888888888889,7.5,7.53
47,34,2025-08-13,1.0,9.0,10.0,10.0,6.0,9.0,9.0,0.1,10.0,1.6666666666666665,9.972222222222223,7.5,7.53
48,35,2025-08-11,1.0,-1.0,0.0,0.0,3.0,44.0,44.0,1.8,0.0,6.666666666666666,9.827777777777778,2.5,4.5
49,35,2025-08-13,1.0,0.0,0.0,0.0,2.0,17.0,17.0,13.0,0.0,8.333333333333334,9.591666666666667,3.0,4.93
50,36,2025-08-13,1.0,10.0,10.0,10.0,6.0,182.0,182.0,2.0,10.0,1.6666666666666665,9.438888888888888,8.0,7.48
51,37,2025-08-13,1.0,9.0,10.0,10.0,6.0,17.0,17.0,0.3,10.0,1.6666666666666665,9.944444444444445,7.5,7.53
52,38,2025-08-13,3.0,0.0,0.0,0.0,4.0,22.0,22.0,7.0,0.0,5.0,9.744444444444445,4.0,4.29
53,39,2025-08-13,1.0,9.0,10.0,10.0,6.0,23.0,23.0,0.3,10.0,1.6666666666666665,9.927777777777779,7.5,7.52
54,40,2025-08-12,1.0,0.0,0.0,0.0,2.0,33.0,166.0,842.0,0.0,8.333333333333334,6.328703703703703,3.0,4.12
55,41,2025-08-13,1.0,2.0,5.0,5.0,4.0,170.0,170.0,2.0,5.0,5.0,9.472222222222221,4.0,5.97
56,42,2025-08-13,3.0,2.0,5.0,5.0,4.0,9.0,9.0,0.1,5.0,5.0,9.972222222222223,5.0,6.24
57,43,2025-08-13,2.0,0.0,0.0,0.0,3.0,20.0,1020.0,1.0,0.0,6.666666666666666,8.064814814814815,3.5,4.21
58,44,2025-08-13,1.0,2.0,5.0,5.0,4.0,18.0,18.0,0.3,5.0,5.0,9.941666666666668,4.0,6.09
59,45,2025-08-10,1.0,9.0,10.0,10.0,5.0,103.0,103.0,1.0,10.0,3.333333333333333,9.686111111111112,7.5,7.88
60,45,2025-08-13,1.0,0.0,5.0,5.0,4.0,158.0,158.0,1.0,5.0,5.0,9.533333333333335,3.0,5.83
61,46,2025-08-13,2.0,2.0,1.0,1.0,5.0,20.0,17.0,0.8,1.0,3.333333333333333,9.927777777777779,4.5,4.34
62,47,2025-08-13,2.0,1.0,0.0,0.0,4.0,29.0,29.0,0.7,0.0,5.0,9.9,4.0,4.32
63,48,2025-08-13,3.0,1.0,1.0,1.0,6.0,6.0,10.0,0.5,1.0,1.6666666666666665,9.962037037037037,4.5,3.93
64,49,2025-08-13,2.0,1.0,0.0,0.0,4.0,11.0,10.0,1.0,0.0,5.0,9.94351851851852,4.0,4.34
65,50,2025-08-13,1.0,4.0,1.0,1.0,5.0,11.0,10.0,0.6,1.0,3.333333333333333,9.95462962962963,5.0,4.42
66,51,2025-08-13,4.0,0.0,0.0,0.0,3.0,6.0,6.0,0.2,0.0,6.666666666666666,9.977777777777776,4.5,4.84
67,52,2025-08-12,3.0,0.0,0.0,0.0,5.0,50.0,50.0,0.8,0.0,3.333333333333333,9.838888888888889,4.0,3.89
68,52,2025-08-13,2.0,3.0,1.0,1.0,5.0,2.0,10.0,4.0,1.0,3.333333333333333,9.868518518518519,5.0,4.4
69,53,2025-08-12,2.0,0.0,0.0,0.0,5.0,10.0,10.0,0.2,0.0,3.333333333333333,9.966666666666667,3.5,3.85
70,53,2025-08-13,5.0,,1.0,1.0,7.0,,,,1.0,0.0,,5.0,
71,54,2025-08-13,2.0,-1.0,0.0,0.0,4.0,11.0,11.0,0.2,0.0,5.0,9.963888888888889,3.0,4.19
72,55,2025-08-12,2.0,-1.0,0.0,0.0,4.0,10.0,10.0,0.2,0.0,5.0,9.966666666666667,3.0,4.19
73,55,2025-08-13,3.0,0.0,0.0,0.0,3.0,,17.0,1.0,0.0,6.666666666666666,9.911111111111111,4.0,4.74
74,56,2025-08-09,,,,,,,,,,,,,
75,56,2025-08-10,1.0,-1.0,0.0,0.0,5.0,35.0,35.0,0.6,0.0,3.333333333333333,9.886111111111111,2.5,3.68
76,56,2025-08-11,2.0,-1.0,0.0,0.0,3.0,11.0,11.0,0.4,0.0,6.666666666666666,9.958333333333334,3.0,4.61
77,56,2025-08-13,2.0,-1.0,0.0,0.0,3.0,,22.0,1.0,0.0,6.666666666666666,9.897222222222222,3.0,4.59
78,57,2025-08-13,1.0,-1.0,0.0,0.0,5.0,57.0,57.0,1.0,0.0,3.333333333333333,9.813888888888888,2.5,3.66
79,58,2025-08-13,3.0,2.0,1.0,1.0,6.0,5.0,10.0,0.3,1.0,1.6666666666666665,9.96851851851852,5.0,4.01
80,59,2025-08-13,2.0,0.0,0.0,0.0,4.0,5.0,5.0,0.2,0.0,5.0,9.980555555555554,3.5,4.27
81,60,2025-08-13,2.0,4.0,10.0,10.0,5.0,2.0,2.0,5.0,10.0,3.333333333333333,9.855555555555556,5.5,7.62
82,61,2025-08-13,1.0,3.0,0.0,0.0,3.0,46.0,28.0,15.0,0.0,6.666666666666666,9.488888888888889,4.5,4.71
83,62,2025-08-13,1.0,7.0,10.0,10.0,6.0,0.0,60.0,15.0,10.0,1.6666666666666665,9.472222222222221,6.5,7.26
84,63,2025-08-10,1.0,5.0,10.0,10.0,6.0,11.0,11.0,5.0,10.0,1.6666666666666665,9.830555555555556,5.5,7.2
85,63,2025-08-13,1.0,4.0,0.0,0.0,5.0,11.0,11.0,10.0,0.0,3.333333333333333,9.691666666666668,5.0,4.01
86,64,2025-08-11,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,10.0,10.0,3.0,5.45
87,64,2025-08-12,1.0,2.0,0.0,0.0,3.0,21.0,21.0,10.0,0.0,6.666666666666666,9.66388888888889,4.0,4.68
88,64,2025-08-13,1.0,2.0,0.0,0.0,3.0,137.0,137.0,1.0,0.0,6.666666666666666,9.591666666666667,4.0,4.66
89,65,2025-08-13,2.0,0.0,0.0,0.0,4.0,0.0,0.0,,0.0,5.0,10.0,3.5,4.28
90,66,2025-08-09,3.0,0.0,0.0,0.0,5.0,,,,0.0,3.333333333333333,,4.0,
91,66,2025-08-13,2.0,2.0,0.0,0.0,4.0,109.0,109.0,,0.0,5.0,9.545833333333334,4.5,4.31
92,67,2025-08-13,4.0,5.0,10.0,10.0,6.0,35.0,51.0,10.0,10.0,1.6666666666666665,9.59537037037037,7.0,7.37
93,68,2025-08-11,1.0,3.0,0.0,0.0,2.0,115.0,59.0,30.0,0.0,8.333333333333334,8.950925925925926,4.5,5.0
94,68,2025-08-12,1.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,8.333333333333334,10.0,3.0,5.03
95,68,2025-08-13,1.0,2.0,0.0,0.0,3.0,19.0,19.0,10.0,0.0,6.666666666666666,9.669444444444444,4.0,4.68
96,69,2025-08-12,3.0,4.0,0.0,0.0,5.0,23.0,60.0,20.0,0.0,3.333333333333333,9.312037037037037,6.0,4.06
97,69,2025-08-13,1.0,4.0,0.0,0.0,5.0,47.0,61.0,15.0,0.0,3.333333333333333,9.426851851851852,5.0,3.94
98,70,2025-08-13,1.0,0.0,0.0,0.0,4.0,0.0,39.0,10.0,0.0,5.0,9.649999999999999,3.0,4.11
99,71,2025-08-13,1.0,0.0,0.0,0.0,4.0,13.0,13.0,5.0,0.0,5.0,9.825000000000001,3.0,4.16
100,72,2025-08-13,1.0,0.0,0.0,0.0,4.0,24.0,24.0,10.0,0.0,5.0,9.655555555555557,3.0,4.11
101,73,2025-08-13,3.0,-1.0,0.0,0.0,5.0,21.0,21.0,2.0,0.0,3.333333333333333,9.886111111111111,3.5,3.83
102,74,2025-08-12,2.0,-2.0,0.0,0.0,3.0,164.0,273.33,164.0,0.0,6.666666666666666,6.008648148148148,2.5,3.54
103,74,2025-08-13,3.0,-1.0,0.0,0.0,4.0,10.0,13.0,4.0,0.0,5.0,9.855555555555554,3.5,4.24
104,75,2025-08-12,1.0,-1.0,0.0,0.0,2.0,11.0,26.75,27.0,0.0,8.333333333333334,9.190277777777778,2.5,4.76
105,75,2025-08-13,1.0,-3.0,0.0,0.0,2.0,11.0,33.0,34.0,0.0,8.333333333333334,8.98425925925926,1.5,4.55
106,76,2025-08-11,4.0,0.0,1.0,1.0,6.0,20.0,20.0,1.0,1.0,1.6666666666666665,9.916666666666668,4.5,3.92
107,76,2025-08-13,4.0,0.0,1.0,1.0,6.0,21.0,21.0,1.0,1.0,1.6666666666666665,9.91388888888889,4.5,3.92
108,77,2025-08-13,4.0,0.0,1.0,1.0,7.0,6.0,6.0,1.0,1.0,0.0,9.955555555555556,4.5,3.51
109,78,2025-08-10,4.0,0.0,1.0,1.0,7.0,41.0,41.0,2.0,1.0,0.0,9.830555555555554,4.5,3.48
110,78,2025-08-11,2.0,-1.0,1.0,0.0,5.0,5.0,28.75,30.0,0.5,3.333333333333333,9.108796296296296,3.0,3.74
111,78,2025-08-13,1.0,0.0,0.0,0.0,4.0,11.0,11.0,1.0,0.0,5.0,9.941666666666668,3.0,4.19
112,79,2025-08-13,3.0,-1.0,0.0,0.0,5.0,19.0,41.0,10.0,0.0,3.333333333333333,9.628703703703701,3.5,3.77
113,80,2025-08-12,4.0,0.0,1.0,1.0,7.0,23.0,23.0,1.0,1.0,0.0,9.908333333333333,4.5,3.5
114,80,2025-08-13,5.0,0.0,0.0,0.0,7.0,,,,0.0,0.0,,5.0,
115,81,2025-08-13,3.0,0.0,0.0,0.0,6.0,10.0,10.0,2.0,0.0,1.6666666666666665,9.916666666666666,4.0,3.5
116,82,2025-08-13,4.0,0.0,1.0,1.0,6.0,30.0,30.0,1.0,1.0,1.6666666666666665,9.88888888888889,4.5,3.91
117,83,2025-08-10,4.0,0.0,0.0,0.0,4.0,24.0,24.0,1.0,0.0,5.0,9.905555555555557,4.5,4.4
118,83,2025-08-12,2.0,-1.0,0.0,0.0,6.0,4.0,11.75,3.0,0.0,1.6666666666666665,9.891203703703704,3.0,3.34
119,83,2025-08-13,2.0,-1.0,0.0,0.0,5.0,17.0,17.0,2.0,0.0,3.333333333333333,9.897222222222222,3.0,3.76
120,84,2025-08-12,1.0,-2.0,0.0,0.0,4.0,6.0,70.0,12.0,0.0,5.0,9.53148148148148,2.0,3.93
121,84,2025-08-13,1.0,-2.0,0.0,0.0,2.0,110.0,225.0,50.0,0.0,8.333333333333334,8.092592592592592,2.0,4.41
122,85,2025-08-13,2.0,1.0,0.0,0.0,3.0,1140.0,570.0,20.0,0.0,6.666666666666666,7.333333333333333,4.0,4.1
123,86,2025-08-10,2.0,0.0,0.0,0.0,4.0,700.0,700.0,12.0,0.0,5.0,7.722222222222222,3.5,3.71
124,86,2025-08-11,2.0,0.0,0.0,0.0,3.0,250.0,250.0,5.0,0.0,6.666666666666666,9.166666666666666,3.5,4.48
125,86,2025-08-13,2.0,1.0,0.0,0.0,4.0,2.0,60.0,18.0,0.0,5.0,9.387037037037038,4.0,4.2
126,87,2025-08-13,2.0,2.0,1.0,1.0,5.0,390.0,195.0,7.0,1.0,3.333333333333333,9.083333333333334,4.5,4.13
127,88,2025-08-09,,,0.0,0.0,5.0,,,,0.0,3.333333333333333,,,
128,88,2025-08-10,10.0,,1.0,1.0,7.0,25.0,25.0,5.0,1.0,0.0,9.791666666666666,10.0,4.3
129,88,2025-08-12,1.0,2.0,0.0,0.0,3.0,226.0,202.0,60.0,0.0,6.666666666666666,7.75,4.0,4.2
130,88,2025-08-13,2.0,3.0,0.0,0.0,4.0,10.0,60.0,18.0,0.0,5.0,9.379629629629628,5.0,4.34
131,89,2025-08-13,3.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,8.333333333333334,9.938888888888888,4.0,5.17
132,90,2025-08-13,2.0,1.0,0.0,0.0,5.0,1200.0,600.0,20.0,0.0,3.333333333333333,7.222222222222224,4.0,3.24
133,91,2025-08-13,2.0,4.0,0.0,0.0,4.0,2.0,250.0,70.0,0.0,5.0,7.590740740740739,5.5,3.97
134,92,2025-08-13,2.0,1.0,0.0,0.0,4.0,2400.0,800.0,30.0,0.0,5.0,5.462962962962963,4.0,3.22
135,93,2025-08-10,2.0,0.0,0.0,0.0,5.0,130.0,65.0,15.0,0.0,3.333333333333333,9.342592592592593,3.5,3.69
136,93,2025-08-11,2.0,5.0,1.0,0.0,6.0,230.0,315.0,80.0,0.5,1.6666666666666665,6.981481481481481,6.0,3.24
137,93,2025-08-12,2.0,0.0,0.0,0.0,5.0,140.0,70.0,10.0,0.0,3.333333333333333,9.462962962962962,3.5,3.72
138,93,2025-08-13,10.0,,1.0,1.0,7.0,2.0,2.0,32.0,1.0,0.0,9.105555555555556,10.0,4.13
139,94,2025-08-12,3.0,-2.0,0.0,0.0,3.0,110.0,55.0,20.0,0.0,6.666666666666666,9.24074074074074,3.0,4.43
140,95,2025-08-13,2.0,0.0,0.0,0.0,2.0,,,,0.0,8.333333333333334,,3.5,
141,96,2025-08-13,2.0,7.0,10.0,10.0,6.0,5.0,225.0,18.0,10.0,1.6666666666666665,9.078703703703704,7.0,7.24
142,97,2025-08-13,2.0,0.0,8.0,8.0,5.0,109.0,109.0,2.0,8.0,3.333333333333333,9.641666666666667,3.5,6.57
143,98,2025-08-13,1.0,9.0,10.0,10.0,6.0,37.0,123.0,4.0,10.0,1.6666666666666665,9.626851851851852,7.5,7.45
144,99,2025-08-10,1.0,0.0,6.0,6.0,4.0,23.0,23.0,3.0,6.0,5.0,9.852777777777778,3.0,6.26
145,99,2025-08-11,1.0,7.0,9.0,9.0,5.0,21.0,100.0,5.0,9.0,3.333333333333333,9.656481481481483,6.5,7.37
146,99,2025-08-12,1.0,,0.0,0.0,1.0,,,,0.0,10.0,,1.0,
147,99,2025-08-13,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,10.0,3.0,5.45
148,100,2025-08-13,2.0,7.0,10.0,10.0,6.0,12.0,174.0,8.0,10.0,1.6666666666666665,9.444444444444445,7.0,7.33
149,101,2025-08-13,1.0,7.0,9.0,9.0,5.0,15.0,15.0,2.0,9.0,3.333333333333333,9.902777777777777,6.5,7.43
150,102,2025-08-13,1.0,0.0,0.0,0.0,2.0,10.0,10.0,2.0,0.0,8.333333333333334,9.916666666666666,3.0,5.01
151,103,2025-08-13,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.666666666666666,10.0,3.5,4.69
152,104,2025-08-13,1.0,7.0,8.0,8.0,4.0,1.0,103.0,21.0,8.0,5.0,9.225,6.5,7.33
153,105,2025-08-13,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,10.0,3.0,5.45
154,106,2025-08-13,2.0,4.0,6.0,6.0,4.0,1.0,168.0,4.0,6.0,5.0,9.57685185185185,5.5,6.57
155,107,2025-08-12,1.0,4.0,7.0,7.0,3.0,1000.0,203.0,74.0,7.0,6.666666666666666,6.642592592592592,5.0,6.53
156,107,2025-08-13,1.0,6.0,10.0,10.0,5.0,17.0,186.0,33.0,10.0,3.333333333333333,8.723148148148148,6.0,7.41
157,108,2025-08-10,2.0,7.0,10.0,10.0,7.0,9.0,137.0,10.0,10.0,0.0,9.460185185185184,7.0,6.92
158,108,2025-08-13,2.0,7.0,10.0,10.0,7.0,12.0,12.0,2.0,10.0,0.0,9.91111111111111,7.0,7.03
159,109,2025-08-13,1.0,8.0,10.0,10.0,7.0,7.0,7.0,1.0,10.0,0.0,9.952777777777778,7.0,7.04
160,110,2025-08-11,1.0,0.0,7.0,7.0,3.0,22.0,116.0,11.0,7.0,6.666666666666666,9.45925925925926,3.0,6.93
161,110,2025-08-12,2.0,0.0,0.0,0.0,4.0,1380.0,690.0,11.5,0.0,5.0,7.125,3.5,3.56
162,110,2025-08-13,2.0,0.0,0.0,0.0,3.0,15.0,7.5,15.0,0.0,6.666666666666666,9.555555555555555,3.5,4.58
163,111,2025-08-13,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.333333333333334,10.0,4.0,5.18
164,112,2025-08-11,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.333333333333334,10.0,3.0,5.03
165,112,2025-08-12,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.333333333333334,10.0,3.5,5.11
166,112,2025-08-13,3.0,4.0,1.0,0.0,5.0,796.0,398.0,70.0,0.5,3.333333333333333,6.5814814814814815,6.0,3.55
167,113,2025-08-10,5.0,0.0,0.0,0.0,3.0,383.0,191.5,6.0,0.0,6.666666666666666,9.124074074074075,5.0,4.7
168,113,2025-08-13,2.0,1.0,0.0,0.0,3.0,1026.0,284.0,26.0,0.0,6.666666666666666,7.801851851851851,4.0,4.22
169,114,2025-08-13,5.0,0.0,1.0,1.0,6.0,1328.0,1328.0,2.0,1.0,1.6666666666666665,6.2555555555555555,5.0,3.08
170,115,2025-08-13,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.333333333333334,10.0,4.5,5.26
171,116,2025-08-13,2.0,0.0,0.0,0.0,4.0,787.0,787.0,15.0,0.0,5.0,7.397222222222222,3.5,3.62
172,117,2025-08-13,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.333333333333334,10.0,4.0,5.18
173,118,2025-08-13,4.0,0.0,0.0,0.0,3.0,2024.0,2024.0,2.0,0.0,6.666666666666666,4.7370370370370365,4.5,3.53
174,119,2025-08-12,2.0,0.0,0.0,0.0,4.0,943.0,471.5,10.0,0.0,5.0,7.975925925925925,3.5,3.77
175,119,2025-08-13,5.0,3.0,1.0,1.0,7.0,0.0,121.0,2.0,1.0,0.0,9.72037037037037,6.5,3.76
176,120,2025-08-13,3.0,2.0,0.0,0.0,5.0,723.0,241.0,10.0,0.0,3.333333333333333,8.606481481481481,5.0,3.73
177,121,2025-08-13,2.0,1.0,0.0,0.0,4.0,1571.0,785.5,22.0,0.0,5.0,6.47962962962963,4.0,3.47
178,122,2025-08-10,3.0,2.0,1.0,1.0,5.0,1176.0,588.0,12.0,1.0,3.333333333333333,7.48888888888889,5.0,3.81
179,122,2025-08-13,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.333333333333334,10.0,3.5,5.11
180,123,2025-08-10,2.0,0.0,0.0,0.0,3.0,8.0,8.0,15.0,0.0,6.666666666666666,9.561111111111112,3.5,4.58
181,123,2025-08-11,8.0,0.0,10.0,10.0,7.0,62.0,62.0,1.0,10.0,0.0,9.8,6.5,6.92
182,123,2025-08-12,3.0,1.0,0.0,0.0,3.0,3.0,10.0,14.0,0.0,6.666666666666666,9.589814814814813,4.5,4.74
183,123,2025-08-13,2.0,3.0,10.0,0.0,2.0,2.0,24.0,70.0,5.0,8.333333333333334,8.00925925925926,5.0,6.59
184,124,2025-08-13,4.0,2.0,10.0,10.0,5.0,2.0,10.0,15.0,10.0,3.333333333333333,9.562962962962963,5.5,7.55
185,125,2025-08-12,3.0,0.0,0.0,0.0,6.0,10.0,10.0,10.0,0.0,1.6666666666666665,9.694444444444443,4.0,3.44
186,125,2025-08-13,3.0,1.0,0.0,0.0,4.0,2.0,10.0,15.0,0.0,5.0,9.562962962962963,4.5,4.32
187,126,2025-08-11,10.0,0.0,0.0,0.0,7.0,,,,0.0,0.0,,7.5,
188,126,2025-08-12,6.0,0.0,10.0,0.0,5.0,119.0,119.0,25.0,5.0,3.333333333333333,8.975,5.5,5.65
189,126,2025-08-13,6.0,0.0,10.0,10.0,7.0,100.0,100.0,17.0,10.0,0.0,9.25,5.5,6.64
190,127,2025-08-13,4.0,0.0,0.0,0.0,5.0,2.0,2.0,2.0,0.0,3.333333333333333,9.938888888888888,4.5,3.99
191,128,2025-08-13,3.0,3.0,10.0,10.0,6.0,2.0,20.0,12.0,10.0,1.6666666666666665,9.627777777777778,5.5,7.15
192,129,2025-08-12,3.0,0.0,0.0,0.0,4.0,35.0,35.0,4.0,0.0,5.0,9.791666666666666,4.0,4.3
193,129,2025-08-13,3.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,8.333333333333334,9.941666666666666,4.0,5.17
194,130,2025-08-13,3.0,0.0,0.0,0.0,6.0,7.0,7.0,7.0,0.0,1.6666666666666665,9.786111111111111,4.0,3.46
195,131,2025-08-13,3.0,0.0,0.0,0.0,3.0,19.0,19.0,20.0,0.0,6.666666666666666,9.391666666666666,4.0,4.61
196,132,2025-08-13,3.0,0.0,0.0,0.0,5.0,2.0,2.0,18.0,0.0,3.333333333333333,9.494444444444445,4.0,3.81
197,133,2025-08-12,4.0,1.0,0.0,0.0,5.0,16.0,16.0,16.0,0.0,3.333333333333333,9.511111111111111,5.0,3.96
198,134,2025-08-13,3.0,0.0,0.0,0.0,4.0,12.0,18.0,38.0,0.0,5.0,8.9,4.0,4.08
199,135,2025-08-13,2.0,8.0,10.0,10.0,6.0,22.0,22.0,10.0,10.0,1.6666666666666665,9.661111111111111,7.5,7.46
200,136,2025-08-13,2.0,-2.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,5.0,9.938888888888888,2.5,4.11
201,137,2025-08-13,3.0,2.0,1.0,1.0,3.0,40.0,23.6,10.0,1.0,6.666666666666666,9.641481481481483,5.0,5.18
202,138,2025-08-12,1.0,2.0,0.0,0.0,2.0,34.0,46.6,15.0,0.0,8.333333333333334,9.465555555555556,4.0,5.05
203,138,2025-08-13,1.0,1.0,1.0,1.0,6.0,15.0,7.5,1.0,1.0,1.6666666666666665,9.944444444444445,3.5,3.78
